rails,max_terms,unique_values,parameters,exact_unique,missing_unique,exact_ratio,weighted_exact,weighted_rmse,weighted_mse,max_error,active_terms,exhaustive_exact,exhaustive_ratio,full_tensor_exact,full_tensor_exact_exhaustive,rail_bits,unique_route_bits,full_tensor_route_id_bits,full_representation_bits,original_bits,full_compression,runtime_seconds,iterations
64,2,4494,7962624,1577,2917,0.3509123275478416,0.48642344533661264,0.00016039657268404866,2.5727060528789304e-08,0.1943359375,8539,1158,0.2576769025367156,False,False,1024,59773,103514112,103574909,127401984,1.2300467867174278,29.089207499999702,8
64,3,4494,7962624,1783,2711,0.3967512238540276,0.5541460955584491,2.4834493184433294e-05,6.167520517276638e-10,0.0400390625,11192,3930,0.8744993324432577,False,False,1024,78344,103514112,103593480,127401984,1.2298262786422467,36.92021599999998,8
64,4,4494,7962624,2133,2361,0.47463284379172227,0.5718191641348379,2.7252415511977253e-06,7.426941512374584e-12,0.000244140625,14431,4462,0.9928793947485536,False,False,1024,101017,103514112,103616153,127401984,1.2295571714576201,71.43299829999978,8
64,6,4494,7962624,2179,2315,0.4848687138406765,0.5656155558770576,5.108233939580062e-08,2.6094053981477644e-15,2.7418136596679688e-06,16523,4470,0.9946595460614153,False,False,1024,115661,103514112,103630797,127401984,1.229383423539626,79.66518540000015,8
